unixtime,mouseX,mouseY,collision,mode
20171010133843,0,0,0,mode0
20171010133843,823,449,0,mode0
20171010133843,823,449,0,mode0
20171010133843,823,449,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133843,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,448,0,mode0
20171010133844,822,452,0,mode0
20171010133844,822,455,0,mode0
20171010133844,822,457,0,mode0
20171010133844,822,459,0,mode0
20171010133844,822,462,0,mode0
20171010133844,826,464,0,mode0
20171010133844,831,468,0,mode0
20171010133844,835,469,0,mode0
20171010133844,848,473,0,mode0
20171010133844,861,478,1,mode0
20171010133844,884,486,2,mode0
20171010133844,907,494,2,mode0
20171010133844,909,496,2,mode0
20171010133844,911,498,2,mode0
20171010133844,912,498,2,mode0
20171010133844,914,500,2,mode0
20171010133844,915,501,2,mode0
20171010133844,916,504,2,mode0
20171010133844,918,506,2,mode0
20171010133844,920,507,2,mode0
20171010133844,922,509,2,mode0
20171010133844,922,509,2,mode0
20171010133844,923,510,2,mode0
20171010133844,924,511,2,mode0
20171010133844,924,511,2,mode0
20171010133844,925,513,3,mode0
20171010133844,927,515,3,mode0
20171010133844,928,515,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133844,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
20171010133845,928,516,3,mode0
