unixtime,mouseX,mouseY,collision,mode
1508047674331,0,0,0,mode0
1508047674491,1423,487,0,mode0
1508047674509,1423,487,0,mode0
1508047674526,1423,487,0,mode0
1508047674543,1423,487,0,mode0
1508047674560,1423,487,0,mode0
1508047674577,1423,487,0,mode0
1508047674594,1423,487,0,mode0
1508047674624,1423,487,0,mode0
1508047674641,1423,487,0,mode1
1508047674658,1423,487,0,mode1
1508047674675,1423,487,0,mode1
1508047674692,1423,487,0,mode1
1508047674707,1423,487,0,mode1
1508047674725,1423,487,0,mode1
1508047674742,1423,487,0,mode1
1508047674758,1423,487,0,mode1
1508047674775,1423,487,0,mode1
1508047674792,1423,487,0,mode1
1508047674808,1423,487,0,mode1
1508047674825,1423,487,0,mode1
1508047674842,1423,487,0,mode1
1508047674859,1423,487,0,mode1
1508047674875,1423,487,0,mode1
1508047674891,1423,487,0,mode1
1508047674908,1423,487,0,mode1
1508047674925,1423,487,0,mode1
1508047674942,1423,487,0,mode1
1508047674959,1423,487,0,mode1
1508047674976,1419,506,0,mode1
1508047674992,1411,530,0,mode1
1508047675008,1401,563,0,mode1
1508047675025,1397,571,0,mode1
1508047675042,1374,611,0,mode1
1508047675059,1356,637,0,mode1
1508047675076,1348,649,0,mode1
1508047675092,1303,696,0,mode1
1508047675109,1272,717,0,mode1
1508047675126,1264,722,0,mode1
1508047675143,1229,735,0,mode1
1508047675159,1201,739,0,mode1
1508047675176,1148,739,0,mode1
1508047675193,1126,739,0,mode1
1508047675210,1049,738,0,mode1
1508047675226,993,729,0,mode1
1508047675247,913,723,0,mode1
1508047675268,861,714,0,mode1
1508047675289,843,707,0,mode1
1508047675306,835,685,0,mode1
1508047675323,826,648,0,mode1
1508047675340,824,635,0,mode1
1508047675356,822,558,0,mode1
1508047675373,823,543,0,mode1
1508047675389,831,487,0,mode1
1508047675405,841,452,0,mode1
1508047675422,845,439,0,mode1
1508047675439,854,403,0,mode1
1508047675456,862,379,0,mode1
1508047675472,868,362,0,mode1
1508047675489,869,357,0,mode1
1508047675511,879,342,0,mode1
1508047675528,890,335,0,mode1
1508047675545,895,333,0,mode1
1508047675561,916,320,0,mode1
1508047675579,934,306,0,mode1
1508047675595,955,285,0,mode1
1508047675613,971,269,0,mode1
1508047675629,982,261,0,mode1
1508047675647,996,253,0,mode1
1508047675664,1002,250,0,mode1
1508047675681,1021,241,0,mode1
1508047675697,1065,226,0,mode1
1508047675714,1074,225,0,mode1
1508047675731,1126,217,0,mode1
1508047675748,1137,217,0,mode1
1508047675763,1175,217,0,mode1
1508047675780,1208,218,0,mode1
1508047675797,1256,231,1,mode1
1508047675814,1267,236,1,mode1
1508047675831,1306,258,1,mode1
1508047675847,1335,282,1,mode1
1508047675865,1374,319,1,mode1
1508047675881,1385,332,1,mode1
1508047675898,1420,362,2,mode1
1508047675916,1454,382,2,mode1
1508047675933,1457,384,2,mode1
1508047675950,1465,387,2,mode1
1508047675967,1479,389,2,mode1
1508047675983,1484,389,2,mode1
1508047676000,1509,396,2,mode1
1508047676017,1528,404,2,mode1
1508047676033,1555,414,2,mode1
1508047676051,1561,416,2,mode1
1508047676067,1579,430,2,mode1
1508047676083,1582,434,2,mode1
1508047676100,1593,452,2,mode1
1508047676117,1599,468,2,mode1
1508047676133,1602,498,2,mode1
1508047676150,1602,507,2,mode1
1508047676167,1597,561,2,mode1
1508047676184,1591,580,2,mode1
1508047676200,1570,626,2,mode1
1508047676217,1554,661,2,mode1
1508047676233,1545,676,2,mode1
1508047676250,1512,719,2,mode1
1508047676266,1487,744,2,mode1
1508047676284,1451,762,2,mode1
1508047676299,1414,771,2,mode1
1508047676317,1408,772,2,mode1
1508047676333,1399,774,2,mode1
1508047676350,1382,774,2,mode1
1508047676367,1358,772,2,mode1
1508047676383,1316,766,2,mode1
1508047676400,1298,764,2,mode1
1508047676417,1229,760,2,mode1
1508047676433,1190,760,2,mode1
1508047676450,1149,763,2,mode1
1508047676467,1140,766,2,mode1
1508047676483,1104,798,2,mode1
1508047676502,1099,803,2,mode1
1508047676520,1085,831,2,mode1
1508047676536,1081,853,2,mode1
1508047676552,1084,883,2,mode1
1508047676569,1087,890,2,mode1
1508047676585,1121,916,2,mode1
1508047676602,1163,926,2,mode1
1508047676619,1236,937,2,mode1
1508047676635,1291,941,2,mode1
1508047676653,1378,941,2,mode1
1508047676669,1406,938,2,mode1
1508047676686,1484,921,2,mode1
1508047676702,1523,902,3,mode1
1508047676720,1566,867,3,mode1
1508047676737,1574,858,3,mode1
1508047676753,1587,821,3,mode1
1508047676771,1589,797,3,mode1
1508047676786,1580,765,3,mode1
1508047676803,1562,738,3,mode1
1508047676820,1519,705,3,mode1
1508047676837,1503,697,3,mode1
1508047676853,1445,682,3,mode1
1508047676870,1408,678,3,mode1
1508047676887,1356,678,3,mode1
1508047676903,1337,679,3,mode1
1508047676920,1288,683,3,mode1
1508047676936,1206,690,3,mode1
1508047676953,1143,694,3,mode1
1508047676970,1055,700,3,mode1
1508047676986,1028,702,3,mode1
1508047677003,961,702,3,mode1
1508047677019,924,702,3,mode1
1508047677038,924,702,3,mode1
1508047677054,924,702,3,mode1
1508047677071,926,701,3,mode1
1508047677088,930,698,3,mode1
1508047677103,952,685,3,mode1
1508047677121,987,669,3,mode1
1508047677138,1067,643,3,mode1
1508047677154,1100,633,3,mode1
1508047677171,1215,609,3,mode1
1508047677187,1298,591,3,mode1
1508047677205,1414,567,3,mode1
1508047677220,1477,552,3,mode1
1508047677237,1543,540,4,mode1
1508047677256,1580,536,4,mode1
1508047677274,1585,536,4,mode1
1508047677291,1591,536,4,mode1
1508047677308,1591,536,4,mode1
1508047677324,1591,536,4,mode1
1508047677341,1591,536,4,mode1
1508047677358,1591,536,4,mode1
1508047677375,1595,538,4,mode1
1508047677391,1609,549,4,mode1
1508047677408,1632,566,4,mode1
1508047677424,1637,570,4,mode1
1508047677441,1657,586,4,mode1
1508047677458,1659,589,5,mode1
1508047677477,1659,593,5,mode1
1508047677495,1655,600,5,mode1
1508047677512,1645,609,5,mode1
1508047677529,1632,624,5,mode1
1508047677547,1628,628,5,mode1
1508047677563,1617,642,5,mode1
1508047677580,1616,644,5,mode1
1508047677596,1615,646,5,mode1
1508047677613,1615,646,5,mode1
1508047677629,1615,646,6,mode1
1508047677656,1615,650,6,mode1
1508047677673,1615,652,6,mode1
1508047677690,1615,664,6,mode1
1508047677706,1617,672,6,mode1
1508047677722,1618,680,6,mode1
1508047677740,1620,685,6,mode1
1508047677756,1620,697,6,mode1
1508047677773,1621,701,6,mode1
1508047677790,1624,719,6,mode1
1508047677807,1627,730,6,mode1
1508047677823,1628,737,6,mode1
1508047677840,1629,739,6,mode1
1508047677857,1629,745,6,mode1
1508047677873,1629,748,6,mode1
1508047677890,1626,756,6,mode1
1508047677906,1613,776,6,mode1
1508047677923,1585,805,6,mode1
1508047677940,1585,805,6,mode1
1508047677956,1510,881,7,mode1
1508047677974,1476,912,7,mode1
1508047677992,1437,951,7,mode1
1508047678009,1425,962,7,mode1
1508047678026,1397,991,7,mode1
1508047678043,1387,1003,7,mode1
1508047678060,1384,1009,7,mode1
1508047678076,1383,1010,7,mode1
1508047678093,1383,1010,7,mode1
1508047678109,1383,1010,7,mode1
1508047678125,1382,1010,7,mode1
1508047678142,1382,1010,7,mode1
1508047678160,1381,1010,7,mode1
1508047678176,1380,1010,7,mode1
1508047678192,1380,1010,7,mode1
1508047678208,1379,1008,7,mode1
1508047678226,1379,1005,7,mode1
1508047678242,1379,992,7,mode1
1508047678259,1381,969,7,mode1
1508047678276,1392,936,7,mode1
1508047678293,1393,928,7,mode1
1508047678309,1408,880,7,mode1
1508047678326,1437,814,7,mode1
1508047678343,1458,770,7,mode1
1508047678359,1466,751,7,mode1
1508047678376,1487,701,7,mode1
1508047678392,1495,682,8,mode1
1508047678410,1496,675,8,mode1
1508047678427,1496,672,8,mode1
1508047678444,1496,665,8,mode1
1508047678460,1488,656,8,mode1
1508047678477,1485,654,8,mode1
1508047678494,1456,623,8,mode1
1508047678512,1434,601,8,mode1
1508047678529,1382,554,8,mode1
1508047678545,1366,538,8,mode1
1508047678562,1330,506,8,mode1
1508047678579,1285,467,9,mode1
1508047678597,1238,431,9,mode1
1508047678614,1207,407,9,mode1
1508047678632,1168,378,9,mode1
1508047678648,1159,372,9,mode1
1508047678664,1134,349,9,mode1
1508047678681,1125,341,9,mode1
1508047678698,1117,335,9,mode1
1508047678713,1116,334,9,mode1
1508047678731,1116,333,9,mode1
1508047678747,1116,333,9,mode1
1508047678764,1115,326,9,mode1
1508047678781,1110,313,9,mode1
1508047678797,1096,281,9,mode1
1508047678814,1093,272,9,mode1
1508047678831,1079,246,9,mode1
1508047678847,1040,199,10,mode1
1508047678865,994,158,10,mode1
1508047678883,974,146,10,mode1
1508047678902,897,106,10,mode1
1508047678919,889,104,10,mode1
1508047678936,883,101,10,mode1
1508047678952,883,101,10,mode1
1508047678970,883,101,10,mode1
1508047678985,883,101,10,mode1
1508047679003,887,105,10,mode1
1508047679020,889,108,10,mode1
1508047679037,897,116,10,mode1
1508047679054,908,133,10,mode1
1508047679070,928,168,10,mode1
1508047679087,932,174,10,mode1
1508047679104,952,209,10,mode1
1508047679120,972,234,10,mode1
1508047679137,1011,266,10,mode1
1508047679154,1024,273,10,mode1
1508047679170,1083,289,10,mode1
1508047679187,1094,289,10,mode1
1508047679204,1131,293,10,mode1
1508047679221,1157,293,10,mode1
1508047679237,1189,293,11,mode1
1508047679257,1195,293,11,mode1
1508047679274,1219,293,11,mode1
1508047679291,1222,293,11,mode1
1508047679308,1224,293,11,mode1
1508047679324,1224,293,11,mode1
1508047679340,1229,294,11,mode1
1508047679357,1234,296,11,mode1
1508047679374,1269,314,11,mode1
1508047679390,1298,337,11,mode1
1508047679407,1342,385,11,mode1
1508047679425,1375,423,11,mode1
1508047679440,1399,452,11,mode1
1508047679457,1424,477,11,mode1
1508047679474,1437,492,11,mode1
1508047679490,1444,501,11,mode1
1508047679507,1448,505,11,mode1
1508047679524,1448,505,11,mode1
1508047679541,1450,506,11,mode1
1508047679557,1450,506,11,mode1
1508047679575,1450,506,11,mode1
1508047679591,1450,506,11,mode1
1508047679608,1450,504,11,mode1
1508047679625,1450,490,11,mode1
1508047679641,1447,468,11,mode1
1508047679658,1418,431,11,mode1
1508047679674,1398,413,11,mode1
