unixtime,mouseX,mouseY,collision,mode
1508376474162,509,590,0,mode0
1508376474179,520,590,0,mode0
1508376474195,522,590,0,mode0
1508376474212,525,590,0,mode0
1508376474229,526,590,0,mode0
1508376474245,528,590,0,mode0
1508376474262,535,590,0,mode0
1508376474278,550,592,0,mode0
1508376474296,555,592,0,mode0
1508376474313,556,592,0,mode0
1508376474329,556,592,0,mode0
1508376474346,556,592,0,mode0
1508376474362,559,592,0,mode0
1508376474380,571,592,0,mode0
1508376474396,584,591,0,mode0
1508376474412,595,589,1,mode0
1508376474431,597,587,1,mode0
1508376474447,600,586,1,mode0
1508376474465,602,585,1,mode0
1508376474481,622,582,1,mode0
1508376474497,638,580,1,mode0
1508376474514,665,577,1,mode0
1508376474531,668,577,1,mode0
1508376474547,676,573,1,mode0
1508376474564,676,573,1,mode0
1508376474581,676,570,1,mode0
1508376474597,676,566,1,mode0
1508376474614,677,557,1,mode0
1508376474631,679,553,1,mode0
1508376474647,686,548,1,mode0
1508376474664,689,547,2,mode0
1508376474682,718,540,2,mode0
1508376474699,723,540,2,mode0
1508376474715,739,539,2,mode0
1508376474733,750,539,2,mode0
1508376474749,777,540,2,mode0
1508376474766,785,541,2,mode0
1508376474782,857,551,2,mode0
1508376474800,873,553,3,mode0
1508376474820,923,561,3,mode0
1508376474836,951,565,3,mode0
1508376474853,982,570,3,mode0
1508376474870,995,575,3,mode0
1508376474886,1003,577,3,mode0
1508376474903,1005,578,3,mode0
1508376474920,1005,578,3,mode0
1508376474937,1005,578,3,mode0
1508376474953,1005,580,3,mode0
1508376474970,999,582,3,mode0
1508376474987,980,586,3,mode0
1508376475003,969,588,3,mode0
1508376475021,930,592,3,mode0
1508376475037,888,594,3,mode0
1508376475054,811,594,3,mode0
1508376475070,755,594,3,mode0
1508376475087,682,591,3,mode0
1508376475104,666,589,3,mode0
1508376475121,635,587,3,mode0
1508376475138,635,586,3,mode0
1508376475154,635,586,3,mode0
1508376475171,635,586,3,mode0
1508376475187,635,586,3,mode0
1508376475204,631,584,3,mode0
1508376475221,615,575,4,mode0
1508376475251,601,567,4,mode0
1508376475268,592,559,4,mode0
1508376475284,587,555,4,mode0
1508376475301,583,552,4,mode0
1508376475317,579,551,4,mode0
1508376475335,547,540,4,mode0
1508376475351,523,536,4,mode0
1508376475367,507,531,4,mode0
1508376475385,501,528,4,mode0
1508376475401,484,513,4,mode0
1508376475418,478,510,4,mode0
1508376475435,455,493,4,mode0
1508376475452,454,492,4,mode0
1508376475469,452,491,5,mode0
1508376475488,450,489,5,mode0
1508376475505,445,487,5,mode0
1508376475522,434,481,5,mode0
1508376475539,419,474,5,mode0
1508376475555,416,473,5,mode0
1508376475573,411,472,5,mode0
1508376475589,409,472,5,mode0
1508376475606,406,471,5,mode0
1508376475622,405,471,5,mode0
1508376475639,404,471,5,mode0
1508376475656,404,471,5,mode0
1508376475672,404,471,5,mode0
1508376475689,404,471,5,mode0
1508376475705,404,471,5,mode0
1508376475723,402,469,5,mode0
1508376475739,397,463,5,mode0
1508376475756,387,454,5,mode0
1508376475772,381,445,5,mode0
1508376475789,380,444,5,mode0
1508376475806,373,438,5,mode0
1508376475823,364,432,5,mode0
1508376475839,345,428,5,mode0
1508376475856,329,426,5,mode0
1508376475873,317,426,5,mode0
1508376475889,316,426,6,mode0
1508376475908,316,426,6,mode0
1508376475925,316,426,6,mode0
1508376475942,319,426,6,mode0
1508376475959,327,426,6,mode0
1508376475976,340,423,6,mode0
1508376475991,341,423,6,mode0
1508376476009,342,422,6,mode0
1508376476025,342,422,6,mode0
1508376476042,342,422,6,mode0
1508376476058,342,422,6,mode0
1508376476075,344,422,6,mode0
1508376476092,346,422,6,mode0
1508376476109,387,439,6,mode0
1508376476126,406,446,6,mode0
1508376476143,490,478,6,mode0
